"1 + 1","1 + 1 = 2"
"1 + 2","1 + 2 = 3"
"1 + 3","1 + 3 = 4"
"1 + 4","1 + 4 = 5"
"1 + 5","1 + 5 = 6"
"1 + 6","1 + 6 = 7"
"1 + 7","1 + 7 = 8"
"1 + 8","1 + 8 = 9"
"1 + 9","1 + 9 = 10"
"1 + 10","1 + 10 = 11"
"1 + 11","1 + 11 = 12"
"1 + 12","1 + 12 = 13"
"1 + 13","1 + 13 = 14"
"1 + 14","1 + 14 = 15"
"1 + 15","1 + 15 = 16"
"1 + 16","1 + 16 = 17"
"1 + 17","1 + 17 = 18"
"1 + 18","1 + 18 = 19"
"1 + 19","1 + 19 = 20"
"1 + 20","1 + 20 = 21"
"2 + 1","2 + 1 = 3"
"2 + 2","2 + 2 = 4"
"2 + 3","2 + 3 = 5"
"2 + 4","2 + 4 = 6"
"2 + 5","2 + 5 = 7"
"2 + 6","2 + 6 = 8"
"2 + 7","2 + 7 = 9"
"2 + 8","2 + 8 = 10"
"2 + 9","2 + 9 = 11"
"2 + 10","2 + 10 = 12"
"2 + 11","2 + 11 = 13"
"2 + 12","2 + 12 = 14"
"2 + 13","2 + 13 = 15"
"2 + 14","2 + 14 = 16"
"2 + 15","2 + 15 = 17"
"2 + 16","2 + 16 = 18"
"2 + 17","2 + 17 = 19"
"2 + 18","2 + 18 = 20"
"2 + 19","2 + 19 = 21"
"2 + 20","2 + 20 = 22"
"3 + 1","3 + 1 = 4"
"3 + 2","3 + 2 = 5"
"3 + 3","3 + 3 = 6"
"3 + 4","3 + 4 = 7"
"3 + 5","3 + 5 = 8"
"3 + 6","3 + 6 = 9"
"3 + 7","3 + 7 = 10"
"3 + 8","3 + 8 = 11"
"3 + 9","3 + 9 = 12"
"3 + 10","3 + 10 = 13"
"3 + 11","3 + 11 = 14"
"3 + 12","3 + 12 = 15"
"3 + 13","3 + 13 = 16"
"3 + 14","3 + 14 = 17"
"3 + 15","3 + 15 = 18"
"3 + 16","3 + 16 = 19"
"3 + 17","3 + 17 = 20"
"3 + 18","3 + 18 = 21"
"3 + 19","3 + 19 = 22"
"3 + 20","3 + 20 = 23"
"4 + 1","4 + 1 = 5"
"4 + 2","4 + 2 = 6"
"4 + 3","4 + 3 = 7"
"4 + 4","4 + 4 = 8"
"4 + 5","4 + 5 = 9"
"4 + 6","4 + 6 = 10"
"4 + 7","4 + 7 = 11"
"4 + 8","4 + 8 = 12"
"4 + 9","4 + 9 = 13"
"4 + 10","4 + 10 = 14"
"4 + 11","4 + 11 = 15"
"4 + 12","4 + 12 = 16"
"4 + 13","4 + 13 = 17"
"4 + 14","4 + 14 = 18"
"4 + 15","4 + 15 = 19"
"4 + 16","4 + 16 = 20"
"4 + 17","4 + 17 = 21"
"4 + 18","4 + 18 = 22"
"4 + 19","4 + 19 = 23"
"4 + 20","4 + 20 = 24"
"5 + 1","5 + 1 = 6"
"5 + 2","5 + 2 = 7"
"5 + 3","5 + 3 = 8"
"5 + 4","5 + 4 = 9"
"5 + 5","5 + 5 = 10"
"5 + 6","5 + 6 = 11"
"5 + 7","5 + 7 = 12"
"5 + 8","5 + 8 = 13"
"5 + 9","5 + 9 = 14"
"5 + 10","5 + 10 = 15"
"5 + 11","5 + 11 = 16"
"5 + 12","5 + 12 = 17"
"5 + 13","5 + 13 = 18"
"5 + 14","5 + 14 = 19"
"5 + 15","5 + 15 = 20"
"5 + 16","5 + 16 = 21"
"5 + 17","5 + 17 = 22"
"5 + 18","5 + 18 = 23"
"5 + 19","5 + 19 = 24"
"5 + 20","5 + 20 = 25"
"6 + 1","6 + 1 = 7"
"6 + 2","6 + 2 = 8"
"6 + 3","6 + 3 = 9"
"6 + 4","6 + 4 = 10"
"6 + 5","6 + 5 = 11"
"6 + 6","6 + 6 = 12"
"6 + 7","6 + 7 = 13"
"6 + 8","6 + 8 = 14"
"6 + 9","6 + 9 = 15"
"6 + 10","6 + 10 = 16"
"6 + 11","6 + 11 = 17"
"6 + 12","6 + 12 = 18"
"6 + 13","6 + 13 = 19"
"6 + 14","6 + 14 = 20"
"6 + 15","6 + 15 = 21"
"6 + 16","6 + 16 = 22"
"6 + 17","6 + 17 = 23"
"6 + 18","6 + 18 = 24"
"6 + 19","6 + 19 = 25"
"6 + 20","6 + 20 = 26"
"7 + 1","7 + 1 = 8"
"7 + 2","7 + 2 = 9"
"7 + 3","7 + 3 = 10"
"7 + 4","7 + 4 = 11"
"7 + 5","7 + 5 = 12"
"7 + 6","7 + 6 = 13"
"7 + 7","7 + 7 = 14"
"7 + 8","7 + 8 = 15"
"7 + 9","7 + 9 = 16"
"7 + 10","7 + 10 = 17"
"7 + 11","7 + 11 = 18"
"7 + 12","7 + 12 = 19"
"7 + 13","7 + 13 = 20"
"7 + 14","7 + 14 = 21"
"7 + 15","7 + 15 = 22"
"7 + 16","7 + 16 = 23"
"7 + 17","7 + 17 = 24"
"7 + 18","7 + 18 = 25"
"7 + 19","7 + 19 = 26"
"7 + 20","7 + 20 = 27"
"8 + 1","8 + 1 = 9"
"8 + 2","8 + 2 = 10"
"8 + 3","8 + 3 = 11"
"8 + 4","8 + 4 = 12"
"8 + 5","8 + 5 = 13"
"8 + 6","8 + 6 = 14"
"8 + 7","8 + 7 = 15"
"8 + 8","8 + 8 = 16"
"8 + 9","8 + 9 = 17"
"8 + 10","8 + 10 = 18"
"8 + 11","8 + 11 = 19"
"8 + 12","8 + 12 = 20"
"8 + 13","8 + 13 = 21"
"8 + 14","8 + 14 = 22"
"8 + 15","8 + 15 = 23"
"8 + 16","8 + 16 = 24"
"8 + 17","8 + 17 = 25"
"8 + 18","8 + 18 = 26"
"8 + 19","8 + 19 = 27"
"8 + 20","8 + 20 = 28"
"9 + 1","9 + 1 = 10"
"9 + 2","9 + 2 = 11"
"9 + 3","9 + 3 = 12"
"9 + 4","9 + 4 = 13"
"9 + 5","9 + 5 = 14"
"9 + 6","9 + 6 = 15"
"9 + 7","9 + 7 = 16"
"9 + 8","9 + 8 = 17"
"9 + 9","9 + 9 = 18"
"9 + 10","9 + 10 = 19"
"9 + 11","9 + 11 = 20"
"9 + 12","9 + 12 = 21"
"9 + 13","9 + 13 = 22"
"9 + 14","9 + 14 = 23"
"9 + 15","9 + 15 = 24"
"9 + 16","9 + 16 = 25"
"9 + 17","9 + 17 = 26"
"9 + 18","9 + 18 = 27"
"9 + 19","9 + 19 = 28"
"9 + 20","9 + 20 = 29"
"10 + 1","10 + 1 = 11"
"10 + 2","10 + 2 = 12"
"10 + 3","10 + 3 = 13"
"10 + 4","10 + 4 = 14"
"10 + 5","10 + 5 = 15"
"10 + 6","10 + 6 = 16"
"10 + 7","10 + 7 = 17"
"10 + 8","10 + 8 = 18"
"10 + 9","10 + 9 = 19"
"10 + 10","10 + 10 = 20"
"10 + 11","10 + 11 = 21"
"10 + 12","10 + 12 = 22"
"10 + 13","10 + 13 = 23"
"10 + 14","10 + 14 = 24"
"10 + 15","10 + 15 = 25"
"10 + 16","10 + 16 = 26"
"10 + 17","10 + 17 = 27"
"10 + 18","10 + 18 = 28"
"10 + 19","10 + 19 = 29"
"10 + 20","10 + 20 = 30"
"11 + 1","11 + 1 = 12"
"11 + 2","11 + 2 = 13"
"11 + 3","11 + 3 = 14"
"11 + 4","11 + 4 = 15"
"11 + 5","11 + 5 = 16"
"11 + 6","11 + 6 = 17"
"11 + 7","11 + 7 = 18"
"11 + 8","11 + 8 = 19"
"11 + 9","11 + 9 = 20"
"11 + 10","11 + 10 = 21"
"11 + 11","11 + 11 = 22"
"11 + 12","11 + 12 = 23"
"11 + 13","11 + 13 = 24"
"11 + 14","11 + 14 = 25"
"11 + 15","11 + 15 = 26"
"11 + 16","11 + 16 = 27"
"11 + 17","11 + 17 = 28"
"11 + 18","11 + 18 = 29"
"11 + 19","11 + 19 = 30"
"11 + 20","11 + 20 = 31"
"12 + 1","12 + 1 = 13"
"12 + 2","12 + 2 = 14"
"12 + 3","12 + 3 = 15"
"12 + 4","12 + 4 = 16"
"12 + 5","12 + 5 = 17"
"12 + 6","12 + 6 = 18"
"12 + 7","12 + 7 = 19"
"12 + 8","12 + 8 = 20"
"12 + 9","12 + 9 = 21"
"12 + 10","12 + 10 = 22"
"12 + 11","12 + 11 = 23"
"12 + 12","12 + 12 = 24"
"12 + 13","12 + 13 = 25"
"12 + 14","12 + 14 = 26"
"12 + 15","12 + 15 = 27"
"12 + 16","12 + 16 = 28"
"12 + 17","12 + 17 = 29"
"12 + 18","12 + 18 = 30"
"12 + 19","12 + 19 = 31"
"12 + 20","12 + 20 = 32"
"13 + 1","13 + 1 = 14"
"13 + 2","13 + 2 = 15"
"13 + 3","13 + 3 = 16"
"13 + 4","13 + 4 = 17"
"13 + 5","13 + 5 = 18"
"13 + 6","13 + 6 = 19"
"13 + 7","13 + 7 = 20"
"13 + 8","13 + 8 = 21"
"13 + 9","13 + 9 = 22"
"13 + 10","13 + 10 = 23"
"13 + 11","13 + 11 = 24"
"13 + 12","13 + 12 = 25"
"13 + 13","13 + 13 = 26"
"13 + 14","13 + 14 = 27"
"13 + 15","13 + 15 = 28"
"13 + 16","13 + 16 = 29"
"13 + 17","13 + 17 = 30"
"13 + 18","13 + 18 = 31"
"13 + 19","13 + 19 = 32"
"13 + 20","13 + 20 = 33"
"14 + 1","14 + 1 = 15"
"14 + 2","14 + 2 = 16"
"14 + 3","14 + 3 = 17"
"14 + 4","14 + 4 = 18"
"14 + 5","14 + 5 = 19"
"14 + 6","14 + 6 = 20"
"14 + 7","14 + 7 = 21"
"14 + 8","14 + 8 = 22"
"14 + 9","14 + 9 = 23"
"14 + 10","14 + 10 = 24"
"14 + 11","14 + 11 = 25"
"14 + 12","14 + 12 = 26"
"14 + 13","14 + 13 = 27"
"14 + 14","14 + 14 = 28"
"14 + 15","14 + 15 = 29"
"14 + 16","14 + 16 = 30"
"14 + 17","14 + 17 = 31"
"14 + 18","14 + 18 = 32"
"14 + 19","14 + 19 = 33"
"14 + 20","14 + 20 = 34"
"15 + 1","15 + 1 = 16"
"15 + 2","15 + 2 = 17"
"15 + 3","15 + 3 = 18"
"15 + 4","15 + 4 = 19"
"15 + 5","15 + 5 = 20"
